Model Type,Epoch,Model Size,Total Parameters,Accuracy,Loss
1 hidden,1,"(3, 3, 3, 1, 1, 1)",7774,37.254,1.7790135459216965
1 hidden,2,"(3, 3, 3, 1, 1, 1)",7774,42.43,1.6256594423137967
1 hidden,3,"(3, 3, 3, 1, 1, 1)",7774,45.738,1.54763499900813
1 hidden,4,"(3, 3, 3, 1, 1, 1)",7774,47.63,1.4935539544695784
1 hidden,5,"(3, 3, 3, 1, 1, 1)",7774,48.656,1.4642439964787124
1 hidden,1,"(3, 6, 3, 1, 1, 1)",15538,42.34,1.649225981186723
1 hidden,2,"(3, 6, 3, 1, 1, 1)",15538,50.618,1.417470902433176
1 hidden,3,"(3, 6, 3, 1, 1, 1)",15538,53.63,1.3364189490485374
1 hidden,4,"(3, 6, 3, 1, 1, 1)",15538,55.286,1.2905128810106945
1 hidden,5,"(3, 6, 3, 1, 1, 1)",15538,56.164,1.2600847946103577
1 hidden,1,"(3, 12, 3, 1, 1, 1)",31066,47.574,1.4882611457039328
1 hidden,2,"(3, 12, 3, 1, 1, 1)",31066,56.308,1.2473973928357633
1 hidden,3,"(3, 12, 3, 1, 1, 1)",31066,58.986,1.1738777088997003
1 hidden,4,"(3, 12, 3, 1, 1, 1)",31066,61.408,1.1114097645368113
1 hidden,5,"(3, 12, 3, 1, 1, 1)",31066,63.008,1.0675877002651428
1 hidden,1,"(3, 18, 3, 1, 1, 1)",46594,48.818,1.4588978537513166
1 hidden,2,"(3, 18, 3, 1, 1, 1)",46594,58.614,1.191988318167684
1 hidden,3,"(3, 18, 3, 1, 1, 1)",46594,62.38,1.0888594210605183
1 hidden,4,"(3, 18, 3, 1, 1, 1)",46594,64.84,1.0176923851985151
1 hidden,5,"(3, 18, 3, 1, 1, 1)",46594,66.52,0.9701305797032993
1 hidden,1,"(3, 24, 3, 1, 1, 1)",62122,49.74,1.4297226047729288
1 hidden,2,"(3, 24, 3, 1, 1, 1)",62122,59.628,1.159773257915931
1 hidden,3,"(3, 24, 3, 1, 1, 1)",62122,62.814,1.0735559629662264
1 hidden,4,"(3, 24, 3, 1, 1, 1)",62122,65.162,1.0126587243946008
1 hidden,5,"(3, 24, 3, 1, 1, 1)",62122,66.682,0.9690814951191777
1 hidden,1,"(3, 30, 3, 1, 1, 1)",77650,50.19,1.413623618500312
1 hidden,2,"(3, 30, 3, 1, 1, 1)",77650,60.266,1.1348799839044166
1 hidden,3,"(3, 30, 3, 1, 1, 1)",77650,64.542,1.0209041534329923
1 hidden,4,"(3, 30, 3, 1, 1, 1)",77650,67.19,0.9510445135176334
1 hidden,5,"(3, 30, 3, 1, 1, 1)",77650,69.156,0.9011504922224127
1 hidden,1,"(3, 36, 3, 1, 1, 1)",93178,50.946,1.3982101883882148
1 hidden,2,"(3, 36, 3, 1, 1, 1)",93178,61.618,1.1076264574247248
1 hidden,3,"(3, 36, 3, 1, 1, 1)",93178,65.742,0.9979944403671548
1 hidden,4,"(3, 36, 3, 1, 1, 1)",93178,68.446,0.9196506968849455
1 hidden,5,"(3, 36, 3, 1, 1, 1)",93178,70.232,0.867069955905685
1 hidden,1,"(3, 42, 3, 1, 1, 1)",108706,51.122,1.3975240220041836
1 hidden,2,"(3, 42, 3, 1, 1, 1)",108706,62.25,1.0938845407932312
1 hidden,3,"(3, 42, 3, 1, 1, 1)",108706,66.372,0.9788265812122608
1 hidden,4,"(3, 42, 3, 1, 1, 1)",108706,68.604,0.9126788667400779
1 hidden,5,"(3, 42, 3, 1, 1, 1)",108706,70.658,0.8537673078229665
1 hidden,1,"(3, 48, 3, 1, 1, 1)",124234,52.51,1.3597391062532849
1 hidden,2,"(3, 48, 3, 1, 1, 1)",124234,63.098,1.069059778471737
1 hidden,3,"(3, 48, 3, 1, 1, 1)",124234,67.092,0.9592017085503435
1 hidden,4,"(3, 48, 3, 1, 1, 1)",124234,69.456,0.8913107760574507
1 hidden,5,"(3, 48, 3, 1, 1, 1)",124234,71.136,0.8428575193028316
2 hidden,1,"(3, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",725,25.058,2.0876619344782035
2 hidden,2,"(3, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",725,30.132,1.983810526483199
2 hidden,3,"(3, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",725,31.958,1.93302004081209
2 hidden,4,"(3, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",725,33.544,1.8808309969389836
2 hidden,5,"(3, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",725,34.92,1.8369936485729559
2 hidden,1,"(3, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2098,34.33,1.8488701581954956
2 hidden,2,"(3, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2098,42.884,1.6152509731404923
2 hidden,3,"(3, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2098,44.95,1.5520361128365596
