Model Type,Epoch,Model Size,Total Parameters,Accuracy,Loss
1 hidden,1,"(3, 3, 3, 1, 1, 1)",7774,37.698,1.7755470775887179
1 hidden,2,"(3, 3, 3, 1, 1, 1)",7774,45.528,1.558095023912542
1 hidden,3,"(3, 3, 3, 1, 1, 1)",7774,47.602,1.4901759028434753
1 hidden,4,"(3, 3, 3, 1, 1, 1)",7774,48.506,1.4585471096855904
1 hidden,5,"(3, 3, 3, 1, 1, 1)",7774,49.108,1.4374667473156433
1 hidden,1,"(3, 6, 3, 1, 1, 1)",15538,43.684,1.5997036820482415
1 hidden,2,"(3, 6, 3, 1, 1, 1)",15538,50.664,1.39938037977804
1 hidden,3,"(3, 6, 3, 1, 1, 1)",15538,53.164,1.3326888508199122
1 hidden,4,"(3, 6, 3, 1, 1, 1)",15538,54.888,1.288962074024293
1 hidden,5,"(3, 6, 3, 1, 1, 1)",15538,55.944,1.2621685794704711
1 hidden,1,"(3, 12, 3, 1, 1, 1)",31066,45.866,1.542509493010733
1 hidden,2,"(3, 12, 3, 1, 1, 1)",31066,55.628,1.266226720855669
1 hidden,3,"(3, 12, 3, 1, 1, 1)",31066,58.998,1.1733587907098444
1 hidden,4,"(3, 12, 3, 1, 1, 1)",31066,61.434,1.1122636734829534
1 hidden,5,"(3, 12, 3, 1, 1, 1)",31066,63.108,1.0671024830140117
1 hidden,1,"(3, 18, 3, 1, 1, 1)",46594,49.186,1.447192162732639
1 hidden,2,"(3, 18, 3, 1, 1, 1)",46594,59.362,1.1715033260147896
1 hidden,3,"(3, 18, 3, 1, 1, 1)",46594,62.416,1.0872514380518432
1 hidden,4,"(3, 18, 3, 1, 1, 1)",46594,64.498,1.0292284179983846
1 hidden,5,"(3, 18, 3, 1, 1, 1)",46594,66.112,0.9850435773734851
1 hidden,1,"(3, 24, 3, 1, 1, 1)",62122,50.112,1.4225697401539443
1 hidden,2,"(3, 24, 3, 1, 1, 1)",62122,59.766,1.1616087804365036
1 hidden,3,"(3, 24, 3, 1, 1, 1)",62122,63.392,1.05623343914671
